index,image,label
0,Training Data\Coast\Coast-Train (1).jpeg,Coast
1,Training Data\Coast\Coast-Train (10).jpeg,Coast
2,Training Data\Coast\Coast-Train (100).jpeg,Coast
3,Training Data\Coast\Coast-Train (1000).jpeg,Coast
4,Training Data\Coast\Coast-Train (1001).jpeg,Coast
5,Training Data\Coast\Coast-Train (1002).jpeg,Coast
6,Training Data\Coast\Coast-Train (1003).jpeg,Coast
7,Training Data\Coast\Coast-Train (1004).jpeg,Coast
8,Training Data\Coast\Coast-Train (1005).jpeg,Coast
9,Training Data\Coast\Coast-Train (1006).jpeg,Coast
10,Training Data\Coast\Coast-Train (1007).jpeg,Coast
11,Training Data\Coast\Coast-Train (1008).jpeg,Coast
12,Training Data\Coast\Coast-Train (1009).jpeg,Coast
13,Training Data\Coast\Coast-Train (101).jpeg,Coast
14,Training Data\Coast\Coast-Train (1010).jpeg,Coast
15,Training Data\Coast\Coast-Train (1011).jpeg,Coast
16,Training Data\Coast\Coast-Train (1012).jpeg,Coast
17,Training Data\Coast\Coast-Train (1013).jpeg,Coast
18,Training Data\Coast\Coast-Train (1014).jpeg,Coast
19,Training Data\Coast\Coast-Train (1015).jpeg,Coast
20,Training Data\Coast\Coast-Train (1016).jpeg,Coast
21,Training Data\Coast\Coast-Train (1017).jpeg,Coast
22,Training Data\Coast\Coast-Train (1018).jpeg,Coast
23,Training Data\Coast\Coast-Train (1019).jpeg,Coast
24,Training Data\Coast\Coast-Train (102).jpeg,Coast
25,Training Data\Coast\Coast-Train (1020).jpeg,Coast
26,Training Data\Coast\Coast-Train (1021).jpeg,Coast
27,Training Data\Coast\Coast-Train (1022).jpeg,Coast
28,Training Data\Coast\Coast-Train (1023).jpeg,Coast
29,Training Data\Coast\Coast-Train (1024).jpeg,Coast
30,Training Data\Coast\Coast-Train (1025).jpeg,Coast
31,Training Data\Coast\Coast-Train (1026).jpeg,Coast
32,Training Data\Coast\Coast-Train (1027).jpeg,Coast
33,Training Data\Coast\Coast-Train (1028).jpeg,Coast
34,Training Data\Coast\Coast-Train (1029).jpeg,Coast
35,Training Data\Coast\Coast-Train (103).jpeg,Coast
36,Training Data\Coast\Coast-Train (1030).jpeg,Coast
37,Training Data\Coast\Coast-Train (1031).jpeg,Coast
38,Training Data\Coast\Coast-Train (1032).jpeg,Coast
39,Training Data\Coast\Coast-Train (1033).jpeg,Coast
